;Location;Title;Year
0;Golden Gate Bridge;Superman;1978.0
1;City Hall;Tucker: The Man and His Dream;1988.0
2;Fairmont Hotel (950 Mason Street, Nob Hill);Shoot the Moon;1982.0
3;Treasure Island;Patch Adams;1998.0
4;Coit Tower;The Rock;1996.0
5;Palace of Fine Arts (3301 Lyon Street);Forrest Gump;1994.0
6;Chinatown;Romeo Must Die;2000.0
7;Postcard Row (Alamo Square, Hayes Valley);Fat Man and Little Boy;1989.0
8;Grace Cathedral Episcopal Church (1100 California Street);The Wedding Planner;2001.0
9;Hall of Justice (850 Bryant Street);Basic Instinct;1992.0
