;Location;Title;year
1;Golden Gate Bridge;Jagged Edge;1985
2;City Hall;Tucker: The Man and His Dream;1988
3;Fairmont Hotel (950 Mason Street, Nob Hill);Shoot the Moon;1982
4;Treasure Island;What Dreams May Come;1998
5;Coit Tower;The Rock;1996
6;Palace of Fine Arts (3301 Lyon Street);Forrest Gump;1994
7;Chinatown;Romeo Must Die;2000
8;Postcard Row (Alamo Square, Hayes Valley);Fat Man and Little Boy;1989
9;Tosca Café (242 Columbus Avenue, North Beach);The Assassination of Richard Nixon;2004
10;Telegraph Hill;Innerspace;1987
